formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
HfCr2,mp-569624,0.0,0.103054793333332,0.10305479333333101,12,175.47773779735323,10.692472665924456,P6_3/mmc,194,hexagonal,5.02087777,5.02087751047087,8.03770566,90.0,90.0,119.99999505557028,bi-metallic metal,Hf,Hf[+4],Passivation,HfO2(s),Passivation
HfCr2,mp-973904,0.0,0.092995653749999,0.092995653749998,24,350.8661895778509,10.695193612892377,P6_3/mmc,194,hexagonal,5.002147590196629,5.002153513379428,16.192011220229002,89.99958921311836,90.00058947106194,120.00078257873241,bi-metallic metal,Hf,Hf[+4],Passivation,HfO2(s),Passivation
HfCr2,mp-819,0.0,0.084681143333331,0.08468114333333,6,87.56918907564969,10.713191104553674,Fd-3m,227,cubic,4.984506123834655,4.984504921304939,4.98450557,60.000002397805055,60.000010378406614,60.00001073306659,bi-metallic metal,Hf,Hf[+4],Passivation,HfO2(s),Passivation
Hf4Cr,mp-1212226,0.0,0.9384342334999981,0.9384342334999971,10,224.87251402619734,11.312187555322138,Fd-3m,227,cubic,6.825751256268426,6.825751256268426,6.825751256268426,60.00000000000001,60.00000000000001,60.00000000000001,bi-metallic metal,Hf,Hf[+4],Passivation,HfO2(s),Passivation
HfCrO4,mp-1980701,1.1371,-2.97761368375,0.05614226750000201,24,270.80718904860015,7.222876025483298,P2_1/c,14,monoclinic,4.709323004709381,11.722240294310726,4.906408091987151,88.95255825822484,89.99751623734203,89.99601503642712,bi-metallic oxide,Hf,Hf[+4],Passivation,HfO2(s),Passivation
HfCrO4,mp-781615,0.0,-2.973007412083333,0.060748539166668,24,270.2119475295838,7.238787075073748,Pbcn,60,orthorhombic,4.685661000493633,11.76491800057136,4.901678000312138,89.99971363624542,90.00125482811373,89.99890430024423,bi-metallic oxide,Hf,Hf[+4],Passivation,HfO2(s),Passivation
HfCrO3,mp-756322,1.7873,-3.103459338499999,0.09728987566666601,20,244.80676715117258,7.555903212417212,Pnma,62,orthorhombic,4.906804,5.329205,9.361863,90.0,90.0,90.0,bi-metallic oxide,Hf,Hf[+4],Passivation,HfO2(s),Passivation
TaCr2,mp-570963,0.0,0.07452002505555301,0.07452002505555501,12,164.34779464712025,11.51592293638167,P6_3/mmc,194,hexagonal,4.86869331,4.868691965424524,8.00587071,90.0,90.0,120.0000090676107,bi-metallic metal,Ta,TaO2[+1],Passivation,TaO2[+1],Passivation
TaCr2,mp-2385,0.0,0.059876289222221005,0.059876289222223,6,82.05275286322565,11.53292529426364,Fd-3m,227,cubic,4.877560695211188,4.877561178950434,4.87756143,60.00000514721942,60.000001866488866,59.999992510873014,bi-metallic metal,Ta,TaO2[+1],Passivation,TaO2[+1],Passivation
Ta4Cr,mp-1208441,0.0,1.413849178499998,1.413849178500001,10,197.06836023369357,13.073896275048847,Fd-3m,227,cubic,6.531966773461726,6.531966773461726,6.531966773461726,59.99999999999999,59.99999999999999,59.99999999999999,bi-metallic metal,Ta,TaO2[+1],Passivation,TaO2[+1],Passivation
