formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Li9Mn7O16,mp-1100499,0.9664,-2.140123745172413,0.027337256093738,32,296.53868233290234,3.936760140018902,C2/m,12,monoclinic,6.061099121174641,6.061099121174641,9.732669555910805,84.2347870556453,84.2347870556453,56.59683009502574,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100500,0.0,-2.117762792047413,0.04969820921873801,32,297.7693964440626,3.920489071485892,C2/m,12,monoclinic,6.005347387745691,6.005347387745691,10.640793896711656,69.94454053553403,69.94454053553403,57.4681250099425,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100505,0.9934000000000001,-2.140168921734913,0.027292079531238002,32,296.5903876854421,3.936073834665269,C2/m,12,monoclinic,6.065680142842351,6.065680142842351,10.558160206837933,69.21045128709888,69.21045128709888,56.53732601291147,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiMn7O14,mp-1176738,0.0,-1.858937763811389,0.043286694397734006,88,1011.3332159502461,4.04242628517679,C2/c,15,monoclinic,10.244035891028496,10.244035891028496,13.11612458946506,82.79689761992887,82.79689761992887,47.88288352905117,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li3Mn7O16,mp-770710,0.0,-1.886640759058356,0.041005662155451005,26,278.6444728802107,3.941391132801728,R3m,160,trigonal,10.046430344451355,10.046430344451355,10.046430247175014,33.735317724600876,33.735317724600876,33.73531803243883,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100501,0.5887,-2.124442541109913,0.043018460156238,32,296.66724564444365,3.9350541110326382,P-1,2,triclinic,3.006721,9.943537235495727,10.186063306925693,77.82708968299674,86.49285587322564,86.13114994755384,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100502,0.505999999999999,-2.119814437672413,0.047646563593738006,32,297.44418403919565,3.9247755620196063,P-1,2,triclinic,3.01095,5.098680991871231,19.457355912651234,92.64061726492362,94.0859143329186,91.83616388687157,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100506,0.5594,-2.124165645797413,0.043295355468738,32,296.576690452663,3.936255620089698,P-1,2,triclinic,3.007731,10.16880907623233,10.182090680653605,107.14548337112842,93.48923915063286,91.984849241546,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100507,0.460599999999999,-2.122999630797413,0.04446137046873801,32,296.5440668708377,3.936688657778369,P-1,2,triclinic,3.008468,9.952642569633303,10.163202819737537,77.90162530498117,88.02117430683056,85.4044599476372,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100508,0.6238,-2.124559757672413,0.042901243593738,32,297.1737340378386,3.92834739705917,P-1,2,triclinic,3.01,9.963617990680795,10.40236554597876,73.68169112067483,83.36592803684013,86.00824242730465,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
