formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
ScZn12,mp-11567,0.0,-0.136576282692307,0.0,13,191.54253069268736,7.194336635597737,I4/mmm,139,tetragonal,5.071024925299629,6.645962810904377,6.645960718850821,81.71389181616681,67.63152667277997,67.63153703512201,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScZn2,mp-13503,0.0,-0.346485575833333,0.0,12,199.25226046181496,5.859495838864961,P6_3/mmc,194,hexagonal,5.225845190144597,5.22584525257511,8.424725860000773,90.00004642748831,89.9999573101115,119.99914031520439,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScZn3,mp-862260,0.0,-0.313133792499999,0.0,8,129.10417721407012,6.204193484898381,P6_3/mmc,194,hexagonal,5.86550128,5.865500709411566,4.33310712,90.0,90.0,119.99999736776566,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScZn,mp-11566,0.0,-0.381565497499999,0.0,2,37.05988695671879,4.945110819466381,Pm-3m,221,cubic,3.33401869,3.33401869,3.33401869,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScZn3,mp-973143,0.0,-0.29388966999999905,0.019244122499999003,4,62.89283373609448,6.367874108723851,Fm-3m,225,cubic,4.463806774280231,4.463806774280231,4.463806774280231,59.99999999999999,59.99999999999999,59.99999999999999,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScZn6,mp-1219746,0.0,-0.23421449428571403,0.0,84,1261.8087186656774,6.907572308698063,Immm,71,orthorhombic,11.791094269766955,11.791094269766955,11.791094269766955,70.06484360708454,70.31836498786357,108.79905525439018,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc3Zn17,mp-569900,0.0,-0.23731439712499902,0.002161383708333,80,1314.3262519282237,6.30100643013872,Im-3,204,cubic,11.9520304540355,11.9520304540355,11.9520304540355,109.47122063449069,109.47122063449069,109.47122063449069,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
YScO3,mp-769007,3.1392,-3.941366084666667,0.019936197083330002,30,402.56854913574466,4.50088173355385,P6_3cm,185,hexagonal,6.174025801157947,6.174025664292534,12.194740750000042,89.99999271268793,90.00000341330802,120.00005296512194,bi-metallic oxide,Y,Y[+3],Passivation,Y[+3],Passivation
YScO3,mp-768479,3.2044,-3.9304259640000003,0.030876317749997002,10,138.94105351591026,4.346959576160271,P6_3/mmc,194,hexagonal,3.590589866134671,3.590589866134671,12.444239,90.0,90.0,119.99999753342513,bi-metallic oxide,Y,Y[+3],Passivation,Y[+3],Passivation
YScO3,mp-755165,4.4324,-3.932606217,0.028696064749997002,20,251.95223031798207,4.794330594656989,Pnma,62,orthorhombic,5.468448,5.76218,7.995899,90.0,90.0,90.0,bi-metallic oxide,Y,Y[+3],Passivation,Y[+3],Passivation
ZrSc,mp-1215201,0.0,0.025691794999996003,0.035974444166665,2,48.11274984875491,4.700044472058005,P-6m2,187,hexagonal,3.2828456727679636,3.2828456727679636,5.15500536,90.0,90.0,120.00011593598713,bi-metallic metal,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr3Sc,mp-1188062,0.0,-0.015423973749999001,0.0,8,188.77689755624223,5.605496249111247,P6_3/mmc,194,hexagonal,6.5200209000000005,6.520021729127994,5.12767113,90.0,90.0,119.99999579336792,bi-metallic metal,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrSc2,mp-1077791,0.0,-0.0033988183333350003,0.0034562811111090003,6,145.90903190345824,4.122885447033837,C2/m,12,monoclinic,3.29017602,6.182083801338872,7.65057994572241,102.92470383714421,90.00000000037738,105.4326614729333,bi-metallic metal,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
